Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,Margin,Leverage,Lot,Comm,Symbol
AUD/CAD,0.96837,0.00013,0.19,-0.48,0.0001,0.06946,8,0,1000,0.8,
AUD/CHF,0.72544,0.00008,0.35,-0.82,0.0001,0.09272,40,0,1000,0.8,
AUD/JPY,91.817,0.005,0.27,-0.6,0.01,0.07325,8,0,1000,0.8,
AUD/NZD,1.12018,0.00015,-0.29,0.12,0.0001,0.06004,8,0,1000,0.8,
AUD/USD,0.73677,0.00003,0.24,-0.51,0.0001,0.09129,8,0,1000,0.6,
CAD/CHF,0.74917,0.00007,0.13,-0.33,0.0001,0.09272,40,0,1000,0.8,
CAD/JPY,94.824,0.007,0.03,-0.13,0.01,0.07325,8,0,1000,0.8,
CHF/JPY,126.575,0.006,-0.32,0.12,0.01,0.07325,55,0,1000,0.8,
EUR/AUD,1.48693,0.00011,-0.87,0.41,0.0001,0.06726,10,0,1000,0.8,
EUR/CAD,1.43979,0.00012,-0.26,0.1,0.0001,0.06946,10,0,1000,0.8,
EUR/CHF,1.0786,0.00006,0.09,-0.26,0.0001,0.09272,75,0,1000,0.8,
EUR/GBP,0.70724,0.00005,-0.24,0.11,0.0001,0.1414,10,0,1000,0.8,
EUR/JPY,136.52,0.007,-0.08,0.03,0.01,0.07325,10,0,1000,0.6,
EUR/NZD,1.66552,0.00025,-1.3,0.6,0.0001,0.06005,10,0,1000,0.8,
EUR/USD,1.09546,0.00003,-0.14,0.06,0.0001,0.09129,10,0,1000,0.6,
GBP/AUD,2.1026,0.00018,-0.94,0.44,0.0001,0.06726,16,0,1000,0.8,
GBP/CAD,2.0359,0.00021,0.03,-0.09,0.0001,0.06946,16,0,1000,0.8,
GBP/CHF,1.52516,0.00012,0.31,-0.7,0.0001,0.09272,80,0,1000,0.8,
GBP/JPY,193.04,0.009,0.12,-0.28,0.01,0.07325,16,0,1000,0.6,
GBP/NZD,2.3551,0.00044,-1.48,0.68,0.0001,0.06005,16,0,1000,0.8,
GBP/USD,1.54901,0.00006,0.07,-0.15,0.0001,0.09129,16,0,1000,0.6,
GER30,10884,1,-0.0918,0,1,0.1,6,0,0.1,0,
NAS100,4185,2,0.0477,-0.09,1,0.0871,2,0,0.1,0,
NZD/CAD,0.86456,0.00015,0.27,-0.6,0.0001,0.06946,7,0,1000,0.8,
NZD/CHF,0.64768,0.00011,0.41,-0.9,0.0001,0.09272,35,0,1000,0.8,
NZD/JPY,81.976,0.012,0.34,-0.74,0.01,0.07325,7,0,1000,0.8,
NZD/USD,0.65779,0.00007,0.31,-0.69,0.0001,0.09129,7,0,1000,0.8,
SPX500,2032.4,0.5,0.3265,-0.5419,0.1,0.0871,8,0,1,0,
UK100,6869,2,-0.0883,0,1,0.13183,6,0,0.1,0,
US30,17520,4,0.1271,-0.2948,1,0.0871,6,0,0.1,0,
USD/CAD,1.3143,0.00004,-0.08,0.02,0.0001,0.06946,10,0,1000,0.8,
USD/CHF,0.98462,0.00005,0.14,-0.36,0.0001,0.09272,50,0,1000,0.6,
USD/JPY,124.622,0.002,0.03,-0.08,0.01,0.07325,10,0,1000,0.6,
XAG/USD,17.235,0.046,-0.0009,0,0.01,0.43547,5,0,50,0,
XAU/USD,1260.82,0.47,-0.0124,0,0.01,0.00871,11,0,1,0,
USOil
UKOil
NGAS
JPN225
HKG33
FRA40
ESP35
AUS200
EUSTX50
Copper
Bund
USDOLLAR